country,year,party_id,party,vote,seat,epvote,family,eu_position,eu_intmark,eu_foreign,lrgen,lrecon,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,urban_rural,environment,regions,ethnic_minorities,nationalism,mds1,mds2
1,1999,115,FN,1.5,0.69999999,1.519999980926514,1,2.142857074737549,,2.0,9.88888931274414,8.75,,,,,,,,,,,,,,-1.8447321509067973,2.7463563021237243
1,1999,109,CVP,14.1000003814697,14.7,13.48999977111816,4,6.888888835906982,,6.55555534362793,5.777777671813965,5.75,,,,,,,,,,,,,,-0.9871147649674273,-1.3686735452930403
1,1999,107,PVV/VLD,14.3,15.3,13.60999965667725,3,6.666666507720947,,6.55555534362793,7.111111164093018,7.625,,,,,,,,,,,,,,-1.9320114979411431,-0.9360657897062357
1,1999,106,PRL,7.7,9.0,6.690000057220459,3,6.55555534362793,,6.55555534362793,6.666666507720947,7.0,,,,,,,,,,,,,,-1.5994298002111393,-1.0051732746224182
1,1999,110,VU,5.6,5.3000002,7.570000171661377,8,5.0,,4.875,5.125,5.0,,,,,,,,,,,,,,-0.09585461041727476,-0.2617026473735409
1,1999,111,FDF,2.4,3.0,3.339999914169312,8,6.142857074737549,,6.285714149475098,6.111111164093018,6.25,,,,,,,,,,,,,,-1.115835465438679,-0.9189179456071788
1,1999,103,SP,9.6,9.3000002,8.84000015258789,5,6.666666507720947,,6.55555534362793,3.333333253860474,3.125,,,,,,,,,,,,,,0.5283740215086614,-1.8775563700693836
1,1999,113,MCC,,,,4,6.428571224212646,,6.400000095367432,5.571428775787354,5.800000190734863,,,,,,,,,,,,,,-0.8734413136049118,-1.1721660370507379
1,1999,114,ID21,,,,8,4.625,,4.875,5.142857074737549,5.142857074737549,,,,,,,,,,,,,,-0.09425006072530609,-0.1098028610682704
1,1999,108,PSC,5.9,6.6999998,4.949999809265137,4,6.888888835906982,,6.55555534362793,5.222222328186035,5.25,,,,,,,,,,,,,,-0.6733835521859499,-1.4937948313046823
1,1999,102,PS,10.2,12.7,9.590000152587892,5,6.666666507720947,,6.55555534362793,3.111111164093018,2.625,,,,,,,,,,,,,,0.7544615656310631,-1.9608111860498398
1,1999,105,AGALEV,7.0,6.0,7.460000038146973,7,6.0,,5.111111164093018,2.444444417953491,2.125,,,,,,,,,,,,,,1.3895225195003003,-1.3353639424244106
1,1999,112,VB,9.9,10.0,9.390000343322754,1,2.222222328186035,,3.125,9.88888931274414,8.75,,,,,,,,,,,,,,-2.056859512221322,2.32778455438664
1,1999,104,ECOLO,7.3,7.3000002,8.4399995803833,7,5.777777671813965,,5.111111164093018,1.888888835906982,1.75,,,,,,,,,,,,,,1.6785813190907757,-1.3655255285039367
1,2002,102,PS,10.2,12.7,9.590000152587892,5,6.09,4.1,6.33,3.35,2.5,,,,,,,,,,,,,,-1.2669190853117505,1.6191711793639079
1,2002,108,CDH,5.9,6.6999998,4.949999809265137,4,6.3,5.78,6.44,5.65,6.0,,,,,,,,,,,,,,-1.657381915167054,-0.7506910149145267
1,2002,109,CD&V,14.1,14.7,13.48999977111816,4,6.64,5.8,6.63,5.95,5.82,,,,,,,,,,,,,,-1.8437093524042882,-0.8037785255773975
1,2002,107,VLD,14.3,15.3,13.60999965667725,3,6.54,6.7,6.82,6.23,7.45,,,,,,,,,,,,,,-2.232408847617687,-1.6003326018530117
1,2002,105,AGALEV,7.0,6.0,7.460000038146973,7,5.95,3.78,5.1,2.64,2.45,,,,,,,,,,,,,,-0.5413977914829863,1.7973726316740073
1,2002,112,VB,9.9,10.0,9.390000343322754,1,2.73,2.88,2.75,9.55,7.9,,,,,,,,,,,,,,2.77715891960703,-2.1118279418725865
1,2002,103,SP,9.6,9.3000002,8.84000015258789,5,5.45,4.0,6.55,3.5,3.0,,,,,,,,,,,,,,-1.1545583883717,1.5597263475290495
1,2002,110,NVA,5.6,5.3000002,7.570000171661377,8,5.0,5.0,5.0,6.22,5.67,,,,,,,,,,,,,,-0.1523986979576264,-0.6517593095662619
1,2002,106,MR,10.1,12.0,6.690000057220459,3,6.22,6.33,6.89,6.35,7.3,,,,,,,,,,,,,,-2.0696097031335383,-1.5256637027375826
1,2002,104,ECOLO,7.3,7.3000002,8.4399995803833,7,5.9,3.88,5.0,2.56,2.4,,,,,,,,,,,,,,-0.5204861846565981,1.809876682990231
1,2006,109,CD&V,13.3,14.0,13.05000019073486,4,6.3,5.67,6.13,5.56,5.563,5.5,5.329999923706055,3.630000114440918,6.380000114440918,6.440000057220459,6.5,5.880000114440918,7.1300001,6.800000190734863,,3.6300001,5.329999923706055,,-0.7948442475809715,1.6791862147877952
1,2006,106,MR,11.4,16.0,10.30000019073486,3,6.43,6.5,6.33,6.67,7.5,8.5,7.5,6.670000076293945,7.0,4.829999923706055,3.829999923706055,5.329999923706055,6.5999999,6.0,,7.1700001,5.670000076293945,,-3.6192587711674395,1.8333118635280894
1,2006,105,Groen,2.5,0.0,4.900000095367432,7,5.1,4.0,4.88,1.89,1.63,1.129999995231628,1.440000057220459,1.0,3.630000114440918,0.6299999952316284,1.879999995231628,1.129999995231628,0.75,3.0,,5.25,1.0,,2.3116072833347103,-4.924927758372138
1,2006,110,NVA,3.1,0.69999999,4.349999904632568,8,4.9,4.88,5.0,7.89,7.13,6.75,6.110000133514404,5.380000114440918,6.630000114440918,7.0,5.25,7.380000114440918,8.5,5.400000095367432,,3.25,7.710000038146973,,-1.3622661584016968,3.2041523344648644
1,2006,102,PS,13.0,16.700001,13.5,5,5.71,4.0,5.83,3.5,3.17,2.670000076293945,2.329999923706055,2.0,3.670000076293945,2.329999923706055,1.330000042915344,2.5,4.1999998,4.400000095367432,,6.1700001,3.170000076293945,,1.3135258142523634,-3.020612259176617
